시간,데이터수집(ms),신호처리(ms),화면갱신(Hz),루프처리량(kS/s)
2025-09-22 12:03:05,159.19,2.99,6.09,99.73
2025-09-22 12:03:16,159.32,2.53,6.10,99.94
2025-09-22 12:03:26,159.52,2.55,6.11,100.08
2025-09-22 12:03:36,158.15,2.55,6.11,100.04
2025-09-22 12:03:46,39.35,3.17,21.93,359.29
2025-09-22 12:03:57,115.38,2.73,8.47,138.71
2025-09-22 12:04:07,40.22,2.65,21.67,355.08
2025-09-22 12:04:17,42.47,2.64,21.20,347.33
2025-09-22 12:04:27,42.12,2.57,21.31,349.07
2025-09-22 12:04:37,41.10,2.59,21.39,350.40
2025-09-22 12:04:47,41.78,2.96,21.17,346.91
2025-09-22 12:04:57,41.86,4.04,20.67,338.65
2025-09-22 12:05:07,41.17,2.61,21.64,354.54
2025-09-22 12:05:17,42.54,2.64,21.14,346.43
2025-09-22 12:05:27,42.53,2.66,21.15,346.45
2025-09-22 12:05:37,42.47,2.94,21.05,344.96
2025-09-22 12:05:47,42.21,2.89,21.13,346.20
2025-09-22 12:05:57,42.64,2.61,21.12,346.05
2025-09-22 12:06:07,42.56,2.86,21.04,344.67
2025-09-22 12:06:17,42.46,2.55,21.24,347.92
2025-09-22 12:06:27,42.20,3.02,21.07,345.20
2025-09-22 12:06:37,42.14,3.04,21.07,345.18
2025-09-22 12:06:47,42.81,2.98,20.90,342.43
2025-09-22 12:06:57,43.63,2.57,20.72,339.42
2025-09-22 12:07:07,42.13,3.61,20.83,341.24
2025-09-22 12:07:17,41.95,2.62,21.43,351.03
2025-09-22 12:07:27,42.53,2.59,21.20,347.28
2025-09-22 12:07:37,41.95,2.64,21.33,349.55
2025-09-22 12:07:47,42.50,3.51,20.78,340.41
2025-09-22 12:07:57,42.42,2.68,21.18,347.03
2025-09-22 12:08:07,41.89,3.92,20.41,334.36
2025-09-22 12:08:17,42.36,2.54,21.27,348.55
2025-09-22 12:08:27,42.42,2.50,21.27,348.41
2025-09-22 12:08:37,42.44,2.57,21.24,347.96
2025-09-22 12:08:47,42.48,2.57,21.20,347.39
2025-09-22 12:08:57,42.13,2.69,21.27,348.54
2025-09-22 12:09:07,42.18,2.56,21.35,349.76
2025-09-22 12:09:17,41.68,2.64,21.41,350.71
2025-09-22 12:09:27,42.42,2.55,21.25,348.24
2025-09-22 12:09:37,42.33,3.10,20.98,343.77
2025-09-22 12:09:47,42.84,2.66,21.02,344.41
2025-09-22 12:09:57,42.35,2.52,21.29,348.76
2025-09-22 12:10:07,42.53,2.61,21.10,345.74
2025-09-22 12:10:17,42.21,2.84,21.13,346.25
2025-09-22 12:10:27,42.44,3.09,20.98,343.69
2025-09-22 12:10:37,40.36,2.83,21.52,352.66
2025-09-22 12:10:47,42.14,2.50,21.33,349.54
2025-09-22 12:10:57,42.10,2.54,21.39,350.43
2025-09-22 12:11:07,42.17,2.52,21.32,349.37
2025-09-22 12:11:17,42.37,2.89,21.07,345.16
2025-09-22 12:11:27,42.39,2.65,21.22,347.60
2025-09-22 12:11:37,42.16,2.58,21.27,348.45
2025-09-22 12:11:47,42.12,2.89,21.15,346.58
2025-09-22 12:11:57,41.78,2.49,21.49,352.14
2025-09-22 12:12:07,42.36,3.16,20.93,342.91
2025-09-22 12:12:17,42.06,2.56,21.34,349.66
2025-09-22 12:12:27,42.42,2.44,21.22,347.66
2025-09-22 12:12:37,42.64,2.53,21.15,346.57
2025-09-22 12:12:48,42.37,2.64,21.21,347.50
2025-09-22 12:12:58,42.49,2.87,21.07,345.22
2025-09-22 12:13:08,42.14,2.63,21.23,347.91
2025-09-22 12:13:18,42.02,2.77,21.25,348.08
2025-09-22 12:13:28,43.89,2.60,20.54,336.47
2025-09-22 12:13:38,42.63,3.16,20.89,342.19
2025-09-22 12:13:48,43.03,2.72,20.85,341.57
2025-09-22 12:13:58,43.00,3.05,20.70,339.23
2025-09-22 12:14:08,41.06,2.87,21.34,349.67
2025-09-22 12:14:18,42.52,2.85,21.05,344.81
2025-09-22 12:14:28,42.53,2.57,21.18,346.98
2025-09-22 12:14:38,42.61,2.52,21.15,346.52
2025-09-22 12:14:48,41.95,2.47,21.41,350.71
2025-09-22 12:14:58,42.00,2.95,21.17,346.82
2025-09-22 12:15:08,41.53,2.71,21.43,351.11
2025-09-22 12:15:18,42.30,2.64,21.27,348.42
2025-09-22 12:15:28,41.89,2.66,21.33,349.40
2025-09-22 12:15:38,42.54,2.54,21.20,347.32
2025-09-22 12:15:48,42.15,2.67,21.26,348.27
2025-09-22 12:15:58,42.59,2.85,21.04,344.75
2025-09-22 12:16:08,42.57,2.69,21.08,345.30
2025-09-22 12:16:18,42.67,2.60,21.13,346.19
2025-09-22 12:16:28,42.41,2.98,21.01,344.25
2025-09-22 12:16:38,43.45,3.23,20.50,335.94
2025-09-22 12:16:48,42.08,2.50,21.33,349.54
2025-09-22 12:16:58,42.86,2.75,20.91,342.60
2025-09-22 12:17:08,42.37,2.65,21.23,347.78
2025-09-22 12:17:18,42.63,2.66,21.08,345.35
2025-09-22 12:17:28,42.85,2.72,20.99,343.84
2025-09-22 12:17:38,42.80,2.64,21.03,344.63
2025-09-22 12:17:48,39.02,2.64,21.89,358.69
2025-09-22 12:17:58,42.46,2.55,21.21,347.49
2025-09-22 12:18:08,41.22,2.64,21.56,353.25
2025-09-22 12:18:18,42.20,2.61,21.25,348.14
2025-09-22 12:18:28,42.16,3.02,21.10,345.74
2025-09-22 12:18:38,42.54,2.59,21.17,346.79
2025-09-22 12:18:48,42.88,3.34,20.71,339.27
2025-09-22 12:18:58,42.51,2.94,21.04,344.65
2025-09-22 12:19:08,42.39,3.01,21.00,344.04
2025-09-22 12:19:18,42.16,2.54,21.30,348.96
2025-09-22 12:19:28,39.37,2.56,21.70,355.48
2025-09-22 12:19:38,40.02,2.51,21.47,351.73
2025-09-22 12:19:48,42.27,2.61,21.22,347.60
2025-09-22 12:19:58,42.36,2.64,21.20,347.34
2025-09-22 12:20:08,42.02,2.68,21.27,348.51
2025-09-22 12:20:18,42.30,2.97,21.10,345.69
2025-09-22 12:20:28,42.40,2.92,21.04,344.73
2025-09-22 12:20:38,42.00,4.04,20.71,339.33
2025-09-22 12:20:48,42.48,2.58,21.18,347.04
2025-09-22 12:20:58,43.15,2.54,20.84,341.38
2025-09-22 12:21:08,42.45,2.61,21.21,347.51
2025-09-22 12:21:18,42.10,2.60,21.24,348.08
2025-09-22 12:21:28,42.22,2.90,21.13,346.19
2025-09-22 12:21:38,38.82,2.94,21.79,357.03
2025-09-22 12:21:48,42.53,2.64,21.11,345.86
2025-09-22 12:21:58,41.97,2.86,21.23,347.88
2025-09-22 12:22:08,42.46,2.58,21.14,346.43
2025-09-22 12:22:18,42.47,2.57,21.22,347.66
2025-09-22 12:22:28,41.80,2.71,21.32,349.33
2025-09-22 12:22:38,42.52,3.02,20.93,342.91
2025-09-22 12:22:48,42.59,2.93,21.00,344.02
2025-09-22 12:22:58,42.56,2.78,21.08,345.44
2025-09-22 12:23:08,42.19,2.48,21.37,350.19
2025-09-22 12:23:18,40.64,2.51,21.56,353.23
2025-09-22 12:23:28,42.45,2.57,21.22,347.69
2025-09-22 12:23:38,40.94,3.11,21.44,351.21
2025-09-22 12:23:48,43.13,2.63,20.83,341.29
2025-09-22 12:23:58,41.76,2.62,21.47,351.74
2025-09-22 12:24:08,42.06,2.56,21.40,350.66
2025-09-22 12:24:18,42.37,2.65,21.17,346.78
2025-09-22 12:24:28,42.10,2.48,21.41,350.83
2025-09-22 12:24:38,41.29,2.62,21.68,355.24
2025-09-22 12:24:48,42.32,3.13,20.97,343.51
2025-09-22 12:24:58,41.95,3.13,21.12,346.05
2025-09-22 12:25:08,41.86,2.56,21.23,347.84
2025-09-22 12:25:18,41.34,2.74,21.59,353.77
2025-09-22 12:25:28,42.41,2.89,21.11,345.83
2025-09-22 12:25:38,43.06,2.66,20.92,342.74
2025-09-22 12:25:48,42.28,2.69,21.19,347.22
2025-09-22 12:25:58,42.57,2.56,21.15,346.46
2025-09-22 12:26:08,42.31,2.68,21.18,347.00
2025-09-22 12:26:18,41.27,2.65,21.66,354.87
2025-09-22 12:26:28,42.42,2.49,21.26,348.36
2025-09-22 12:26:38,41.66,2.68,21.49,352.10
2025-09-22 12:26:48,39.11,2.57,21.92,359.12
2025-09-22 12:26:58,42.32,2.96,21.05,344.96
2025-09-22 12:27:08,42.40,2.75,21.17,346.78
2025-09-22 12:27:18,41.87,2.65,21.37,350.19
2025-09-22 12:27:28,41.96,2.88,21.25,348.16
2025-09-22 12:27:38,42.40,2.50,21.26,348.28
2025-09-22 12:27:48,42.45,2.69,21.18,346.98
2025-09-22 12:27:58,42.66,2.85,21.00,344.14
2025-09-22 12:28:08,38.96,2.53,21.89,358.65
2025-09-22 12:28:18,42.51,3.04,20.98,343.77
2025-09-22 12:28:29,40.91,2.69,21.53,352.72
2025-09-22 12:28:39,42.28,2.64,21.23,347.91
2025-09-22 12:28:49,42.28,2.61,21.27,348.55
2025-09-22 12:28:59,42.36,2.64,21.20,347.33
2025-09-22 12:29:09,42.46,2.86,21.03,344.63
2025-09-22 12:29:19,41.90,2.90,21.22,347.61
2025-09-22 12:29:29,42.32,2.67,21.18,347.06
2025-09-22 12:29:39,42.68,2.92,20.99,343.86
2025-09-22 12:29:49,42.57,2.66,21.13,346.21
2025-09-22 12:29:59,42.64,2.65,21.08,345.33
2025-09-22 12:30:09,42.62,3.38,20.80,340.86
2025-09-22 12:30:19,41.48,2.52,21.68,355.21
2025-09-22 12:30:29,42.31,2.61,21.20,347.35
2025-09-22 12:30:39,42.27,2.60,21.21,347.57
2025-09-22 12:30:49,43.75,2.68,20.61,337.62
2025-09-22 12:30:59,43.19,3.03,20.70,339.21
2025-09-22 12:31:09,42.75,3.01,20.90,342.37
2025-09-22 12:31:19,42.34,2.55,21.21,347.52
2025-09-22 12:31:29,43.73,2.85,20.51,336.01
2025-09-22 12:31:39,42.93,3.41,20.60,337.53
2025-09-22 12:31:49,42.36,2.50,21.32,349.24
2025-09-22 12:31:59,41.60,2.96,21.02,344.37
2025-09-22 12:32:09,42.56,2.83,21.06,345.05
2025-09-22 12:32:19,42.33,2.51,21.25,348.15
2025-09-22 12:32:29,42.53,2.67,21.14,346.40
2025-09-22 12:32:39,42.90,2.52,21.00,344.07
2025-09-22 12:32:49,42.10,2.51,21.33,349.42
2025-09-22 12:32:59,42.27,2.75,21.07,345.16
2025-09-22 12:33:09,42.38,2.59,21.20,347.35
2025-09-22 12:33:19,42.51,2.67,21.13,346.15
2025-09-22 12:33:29,42.64,2.70,21.08,345.41
2025-09-22 12:33:39,42.41,2.52,21.21,347.57
2025-09-22 12:33:49,42.37,2.54,21.22,347.75
2025-09-22 12:33:59,42.61,2.58,21.09,345.54
2025-09-22 12:34:09,42.32,2.61,21.21,347.59
2025-09-22 12:34:19,40.22,2.51,21.66,354.82
2025-09-22 12:34:29,42.15,3.06,21.00,344.10
2025-09-22 12:34:39,39.29,2.74,21.67,354.97
2025-09-22 12:34:49,42.53,2.61,21.18,347.09
2025-09-22 12:34:59,42.16,2.90,21.15,346.59
2025-09-22 12:35:09,41.96,2.62,21.41,350.84
2025-09-22 12:35:19,42.47,2.52,21.26,348.24
2025-09-22 12:35:29,41.92,2.59,21.38,350.27
2025-09-22 12:35:39,42.36,2.61,21.22,347.68
2025-09-22 12:35:49,42.95,3.97,20.41,334.33
2025-09-22 12:35:59,42.60,2.58,21.15,346.58
2025-09-22 12:36:09,42.77,2.49,21.13,346.15
2025-09-22 12:36:19,42.22,2.59,21.21,347.47
2025-09-22 12:36:29,42.35,3.08,21.02,344.32
2025-09-22 12:36:39,41.98,2.74,21.22,347.60
2025-09-22 12:36:49,41.81,2.61,21.41,350.86
2025-09-22 12:36:59,41.84,2.88,21.37,350.21
2025-09-22 12:37:09,42.66,2.61,21.08,345.30
2025-09-22 12:37:19,42.14,2.56,21.37,350.06
2025-09-22 12:37:29,41.79,2.71,21.38,350.37
2025-09-22 12:37:39,41.59,2.77,21.35,349.72
2025-09-22 12:37:49,42.52,2.62,21.11,345.79
2025-09-22 12:37:59,41.68,2.49,21.49,352.08
2025-09-22 12:38:09,42.23,3.09,21.11,345.83
2025-09-22 12:38:19,42.75,2.66,21.01,344.15
2025-09-22 12:38:29,42.24,2.50,21.37,350.06
2025-09-22 12:38:39,42.64,3.22,20.87,341.87
2025-09-22 12:38:49,42.15,2.61,21.23,347.80
2025-09-22 12:38:59,42.61,2.58,21.15,346.47
2025-09-22 12:39:09,42.31,2.50,21.18,346.98
2025-09-22 12:39:19,42.77,2.53,21.11,345.94
2025-09-22 12:39:29,42.16,2.54,21.35,349.79
2025-09-22 12:39:39,42.56,2.62,21.15,346.47
2025-09-22 12:39:49,42.53,2.68,21.16,346.63
2025-09-22 12:39:59,43.26,2.97,20.70,339.14
2025-09-22 12:40:09,42.22,2.60,21.29,348.75
2025-09-22 12:40:19,42.19,2.60,21.26,348.36
2025-09-22 12:40:29,41.00,2.72,21.75,356.40
2025-09-22 12:40:39,42.46,2.53,21.24,348.00
2025-09-22 12:40:49,42.36,2.63,21.19,347.13
2025-09-22 12:40:59,42.29,2.63,21.27,348.41
2025-09-22 12:41:09,41.92,3.42,21.00,344.00
2025-09-22 12:41:19,42.56,3.02,21.00,343.99
2025-09-22 12:41:29,42.45,2.59,21.18,347.01
2025-09-22 12:41:39,41.62,2.57,21.48,351.93
2025-09-22 12:41:49,42.29,2.57,21.25,348.10
2025-09-22 12:41:59,42.32,2.58,21.27,348.41
2025-09-22 12:42:09,42.16,2.57,21.23,347.83
2025-09-22 12:42:19,42.18,2.89,21.14,346.36
2025-09-22 12:42:29,41.06,2.49,21.49,352.08
2025-09-22 12:42:40,43.21,2.53,20.91,342.64
2025-09-22 12:42:50,43.58,2.96,20.56,336.93
2025-09-22 12:43:00,42.19,2.55,21.29,348.87
2025-09-22 12:43:10,41.57,2.56,21.36,350.03
2025-09-22 12:43:20,42.44,2.43,21.31,349.06
2025-09-22 12:43:30,42.43,3.03,20.96,343.40
2025-09-22 12:43:40,42.25,2.53,21.26,348.34
2025-09-22 12:43:50,42.34,2.58,21.24,347.92
2025-09-22 12:44:00,41.45,2.63,21.65,354.76
2025-09-22 12:44:10,39.00,2.60,21.92,359.16
2025-09-22 12:44:20,42.47,2.58,21.15,346.50
2025-09-22 12:44:30,43.59,3.15,20.45,335.06
2025-09-22 12:44:40,42.38,2.83,21.13,346.25
2025-09-22 12:44:50,42.50,2.86,21.08,345.41
2025-09-22 12:45:00,42.06,2.60,21.35,349.82
2025-09-22 12:45:10,42.76,2.70,21.02,344.35
2025-09-22 12:45:20,40.49,2.59,21.92,359.11
2025-09-22 12:45:30,40.91,2.64,21.45,351.44
2025-09-22 12:45:40,41.88,2.81,21.27,348.52
2025-09-22 12:45:50,42.24,2.48,21.36,349.88
